occ,n
arb.,2644
hustru,2466
arbetare,2124
barn,2101
kont,2058
fru,2032
kontorist,1882
handl.,1693
aff.bitr,1338
ankefru,1337
hembitr,1276
froken,1229
tjanarinna,1134
snickare,1035
sommerska,1027
chauff,1007
jbr.arb,997
somm,944
textilarb,933
hem.ag,833
drang,830
hemmansagare,829
fabr.arb,826
dotter,778
chauffor,771
son,721
grovarb,672
smed,671
malare,656
ing,651
fabr.arb.,647
verkst.arb,627
montor,623
kopman,622
maskinist,622
hembitrade,618
filare,602
byggn.arb,590
hembitr.,587
fabriksarbetare,580
handl,541
arbetaren,518
staderska,503
handlanden,500
lagerbitr,500
skogsarb,493
sjoman,489
murare,488
lagerarb,488
hand.bitr,479
kokerska,474
handelsbitrade,473
stad,450
snick,444
typograf,443
grovarbetare,442
arbet.,424
jordbruksarbetare,419
kont.bitr,408
kontorsbitrade,398
byggn.snick,396
bitrade,385
kassorska,382
jarnarbetare,376
handlande,375
serv,375
stationskarl,372
snick.,369
skraddare,369
kopm,368
forman,364
hush,357
tjanare,355
hushallerska,353
met.arb,353
skomakare,349
elektr,348
handlare,345
snickaren,344
ingenior,343
telefonist,336
abo,327
mal,325
kommunalarb,322
rep,320
bokhallare,320
bokhallaren,318
stnskarl,316
kass,310
grovarb.,305
hem.ag.,302
fiskare,300
verkmast,300
affarsbitrade,294
telef:st,293
ingenjor,292
direktor,291
enkefru,290
banvakt,288
arr,287
svarv,284
servitris,283
tjansteman,281
eldare,280
skogsarb.,280
arrendator,278
skradd.,276
arbk.,276
vaktmastare,276
handelsbitr.,270
sjukv.bitr,269
arb,267
smeden,265
snick.arb,260
jbr.arb.,259
piga,255
div.arb,245
platslag,245
form,244
jordbr.arb.,241
fabriksarbeterska,238
typogr,235
elektriker,235
statdrang,234
verkmastare,233
anka,230
agare,228
larare,228
kamrer,223
lararinna,223
arr.,222
jarnarb,222
skom.,221
svets,221
svarvare,221
hag.,221
mur,221
akare,220
kusk,220
textilarb.,218
platslagare,214
ag.,214
rattare,213
rattaren,212
modist,211
muraren,211
disponent,211
fabrikor,211
kapten,208
arbetskarlen,206
koksbitr,206
eg.,206
malaren,204
inspektor,204
timmerman,204
rorarb,202
skof.arb,202
skollar.,199
lojtnant,199
skoll.,198
reparator,196
lantbr,196
skomak.,196
sergeant,193
furir,192
kontoristen,190
kassor,187
gjutare,186
tradg.arb,183
sjokapten,181
strykerska,180
skomakaren,180
hand.bitr.,180
sagv.arb.,180
linjearb,179
verkst.arb.,176
skrivbitr,176
sjukskoterska,175
aff.bitr.,175
sjukskot,175
mjoln.,172
jarnarb.,170
bokh.,169
byggnadsarbetare,168
dir,168
lantarb,166
banarb,165
mal.arb,164
bagare,164
skraddaren,164
sjom,163
soldat,163
skepp.,163
somm.,160
lagerbitrade,158
handelsidkerska,157
hemmadotter,157
tjan.,157
sӧmm,156
stuv.arb,155
folksk.lar,155
vaktm,155
torp.,155
lantbrukare,155
affarsbitr,154
kontorsbitr.,153
skollarare,152
disp,152
torpare,152
pressare,151
banv.,150
eld,148
tradgardsmastare,148
hem.ӓg,147
sommerskan,146
byggn.arb.,146
ogift,144
lagerbitr.,144
hemson,143
sagv.arb,142
gjut.arb,141
transp.arb,141
husforest,139
agent,138
tradg.mast,138
fb,137
kamr,136
skollararen,136
springpojke,136
skomak,135
kont.,135
lagerarbetare,135
bag,135
frisor,134
volontar,134
bitr,134
vaverska,133
forest,132
mamsell,132
byggmast,132
poliskonstapel,131
mjolnare,131
herr,130
bag.arb,129
ritare,128
gummif.arb,128
hemag,127
hemag.,126
studerande,123
smed.,122
stenarb,122
mjolnaren,121
jungfru,121
tillskar,121
styrman,121
handelsresande,121
sjom.,120
somm:a,120
byggmastare,119
enkan,119
lagerarb.,118
forradsarb,118
arbeterska,117
f hem.ag,117
j.arb.,117
fotograf,117
verkstadsarbetare,117
bilrep,117
forsalj,117
handelsbitradet,116
svetsare,115
kallskanka,114
lokfor,114
forsaljare,114
portvakt,113
kyrkoherde,113
arrend.,113
vavare,113
arbet,113
valsv.arb,112
h.hustru,111
kont.bitr.,111
gardskarl,110
kyrkoh.,110
konduktor,110
filaren,110
ratt.,110
avsyn,110
bokhall.,110
bilmont,110
konditor,109
hand.res,107
lokforare,106
maleriarbetare,106
h.h.,105
valsv.arb.,104
skoarb,104
